"","X","group","value","feature","id","hjust","angle"
"1",1,"Япония",1,"ICO (активы)",1,0,85.5
"2",2,"Япония",1," ICO (утилити)",2,0,76.5
"3",3,"Япония",1,"Криптобиржи",3,0,67.5
"4",4,"Япония",27,"ПОД/ФТ",4,0,58.5
"5",5,"Япония",1,"ПП ICO (активы)",5,0,49.5
"6",6,"Япония",1,"ПП ICO (утилити)",6,0,40.5
"7",7,"Япония",1,"ПП криптобиржи",7,0,31.5
"8",8,NA,NA,NA,8,0,22.5
"9",9,NA,NA,NA,9,0,13.5
"10",10,NA,NA,NA,10,0,4.5
"11",11,"Швейцария",136,"ICO (активы)",11,0,-4.5
"12",12,"Швейцария",136," ICO (утилити)",12,0,-13.5
"13",13,"Швейцария",136,"Криптобиржи",13,0,-22.5
"14",14,"Швейцария",76,"ПОД/ФТ",14,0,-31.5
"15",15,"Швейцария",136,"ПП ICO (активы)",15,0,-40.5
"16",16,"Швейцария",136,"ПП ICO (утилити)",16,0,-49.5
"17",17,"Швейцария",136,"ПП криптобиржи",17,0,-58.5
"18",18,NA,NA,NA,18,0,-67.5
"19",19,NA,NA,NA,19,0,-76.5
"20",20,NA,NA,NA,20,0,-85.5
"21",21,"Эстония",12,"ICO (активы)",21,1,85.5
"22",22,"Эстония",67," ICO (утилити)",22,1,76.5
"23",23,"Эстония",12,"Криптобиржи",23,1,67.5
"24",24,"Эстония",77,"ПОД/ФТ",24,1,58.5
"25",25,"Эстония",12,"ПП ICO (активы)",25,1,49.5
"26",26,"Эстония",67,"ПП ICO (утилити)",26,1,40.5
"27",27,"Эстония",12,"ПП криптобиржи",27,1,31.5
"28",28,NA,NA,NA,28,1,22.5
"29",29,NA,NA,NA,29,1,13.5
"30",30,NA,NA,NA,30,1,4.5
"31",31,"Германия",48,"ICO (активы)",31,1,-4.5
"32",32,"Германия",48," ICO (утилити)",32,1,-13.5
"33",33,"Германия",48,"Криптобиржи",33,1,-22.5
"34",34,"Германия",9,"ПОД/ФТ",34,1,-31.5
"35",35,"Германия",48,"ПП ICO (активы)",35,1,-40.5
"36",36,"Германия",48,"ПП ICO (утилити)",36,1,-49.5
"37",37,"Германия",48,"ПП криптобиржи",37,1,-58.5
"38",38,NA,NA,NA,38,1,-67.5
"39",39,NA,NA,NA,39,1,-76.5
"40",40,NA,NA,NA,40,1,-85.5
