"","name","value","active","place"
"1","start_date",2017-04-24,1,"Германия"
"2","end_date",2017-04-24,0,"Германия"
"3","start_date",2017-07-24,1,"Германия"
"4","end_date",2017-07-24,0,"Германия"
"5","start_date",2017-07-26,1,"Германия"
"6","start_date",2017-08-01,2,"Германия"
"7","start_date",2017-08-12,3,"Германия"
"8","start_date",2017-08-19,4,"Германия"
"9","end_date",2017-08-25,3,"Германия"
"10","end_date",2017-08-29,2,"Германия"
"11","start_date",2017-09-09,3,"Германия"
"12","end_date",2017-09-11,2,"Германия"
"13","start_date",2017-09-15,3,"Германия"
"14","end_date",2017-09-27,2,"Германия"
"15","start_date",2017-09-29,3,"Германия"
"16","start_date",2017-09-30,4,"Германия"
"17","start_date",2017-10-01,5,"Германия"
"18","start_date",2017-10-11,6,"Германия"
"19","start_date",2017-10-13,7,"Германия"
"20","end_date",2017-10-15,6,"Германия"
"21","end_date",2017-10-17,5,"Германия"
"22","start_date",2017-10-18,6,"Германия"
"23","start_date",2017-10-25,7,"Германия"
"24","start_date",2017-11-01,8,"Германия"
"25","start_date",2017-11-01,9,"Германия"
"26","end_date",2017-11-01,8,"Германия"
"27","end_date",2017-11-01,7,"Германия"
"28","start_date",2017-11-03,8,"Германия"
"29","start_date",2017-11-06,9,"Германия"
"30","end_date",2017-11-08,8,"Германия"
"31","start_date",2017-11-11,9,"Германия"
"32","start_date",2017-11-11,10,"Германия"
"33","start_date",2017-11-11,11,"Германия"
"34","start_date",2017-11-15,12,"Германия"
"35","start_date",2017-11-16,13,"Германия"
"36","start_date",2017-11-17,14,"Германия"
"37","start_date",2017-11-17,15,"Германия"
"38","start_date",2017-11-21,16,"Германия"
"39","start_date",2017-11-21,17,"Германия"
"40","end_date",2017-11-24,16,"Германия"
"41","start_date",2017-11-25,17,"Германия"
"42","end_date",2017-12-01,16,"Германия"
"43","start_date",2017-12-01,17,"Германия"
"44","start_date",2017-12-01,18,"Германия"
"45","start_date",2017-12-01,19,"Германия"
"46","start_date",2017-12-04,20,"Германия"
"47","end_date",2017-12-05,19,"Германия"
"48","end_date",2017-12-06,18,"Германия"
"49","start_date",2017-12-10,19,"Германия"
"50","start_date",2017-12-10,20,"Германия"
"51","end_date",2017-12-11,19,"Германия"
"52","start_date",2017-12-11,20,"Германия"
"53","start_date",2017-12-12,21,"Германия"
"54","start_date",2017-12-12,22,"Германия"
"55","start_date",2017-12-12,23,"Германия"
"56","end_date",2017-12-14,22,"Германия"
"57","end_date",2017-12-15,21,"Германия"
"58","start_date",2017-12-16,22,"Германия"
"59","end_date",2017-12-17,21,"Германия"
"60","end_date",2017-12-18,20,"Германия"
"61","end_date",2017-12-21,19,"Германия"
"62","end_date",2017-12-21,18,"Германия"
"63","end_date",2017-12-23,17,"Германия"
"64","end_date",2017-12-25,16,"Германия"
"65","end_date",2017-12-25,15,"Германия"
"66","end_date",2017-12-25,14,"Германия"
"67","end_date",2017-12-30,13,"Германия"
"68","end_date",2017-12-31,12,"Германия"
"69","end_date",2018-01-01,11,"Германия"
"70","end_date",2018-01-02,10,"Германия"
"71","start_date",2018-01-02,11,"Германия"
"72","start_date",2018-01-06,12,"Германия"
"73","end_date",2018-01-09,11,"Германия"
"74","end_date",2018-01-10,10,"Германия"
"75","start_date",2018-01-10,11,"Германия"
"76","start_date",2018-01-12,12,"Германия"
"77","start_date",2018-01-15,13,"Германия"
"78","start_date",2018-01-18,14,"Германия"
"79","start_date",2018-01-23,15,"Германия"
"80","end_date",2018-01-23,14,"Германия"
"81","start_date",2018-01-23,15,"Германия"
"82","end_date",2018-01-25,14,"Германия"
"83","start_date",2018-01-28,15,"Германия"
"84","start_date",2018-01-29,16,"Германия"
"85","end_date",2018-01-30,15,"Германия"
"86","end_date",2018-01-30,14,"Германия"
"87","end_date",2018-01-31,13,"Германия"
"88","start_date",2018-01-31,14,"Германия"
"89","start_date",2018-02-04,15,"Германия"
"90","start_date",2018-02-09,16,"Германия"
"91","end_date",2018-02-10,15,"Германия"
"92","start_date",2018-02-15,16,"Германия"
"93","start_date",2018-02-15,17,"Германия"
"94","start_date",2018-02-15,18,"Германия"
"95","start_date",2018-02-15,19,"Германия"
"96","start_date",2018-02-15,20,"Германия"
"97","start_date",2018-02-17,21,"Германия"
"98","start_date",2018-02-19,22,"Германия"
"99","start_date",2018-02-20,23,"Германия"
"100","start_date",2018-02-21,24,"Германия"
"101","end_date",2018-02-22,23,"Германия"
"102","end_date",2018-02-28,22,"Германия"
"103","start_date",2018-03-01,23,"Германия"
"104","start_date",2018-03-01,24,"Германия"
"105","start_date",2018-03-01,25,"Германия"
"106","start_date",2018-03-01,26,"Германия"
"107","end_date",2018-03-01,25,"Германия"
"108","start_date",2018-03-01,26,"Германия"
"109","start_date",2018-03-01,27,"Германия"
"110","start_date",2018-03-02,28,"Германия"
"111","start_date",2018-03-03,29,"Германия"
"112","start_date",2018-03-03,30,"Германия"
"113","end_date",2018-03-09,29,"Германия"
"114","end_date",2018-03-09,28,"Германия"
"115","start_date",2018-03-10,29,"Германия"
"116","end_date",2018-03-15,28,"Германия"
"117","start_date",2018-03-17,29,"Германия"
"118","end_date",2018-03-17,28,"Германия"
"119","start_date",2018-03-17,29,"Германия"
"120","start_date",2018-03-18,30,"Германия"
"121","start_date",2018-03-18,31,"Германия"
"122","end_date",2018-03-20,30,"Германия"
"123","end_date",2018-03-23,29,"Германия"
"124","start_date",2018-03-25,30,"Германия"
"125","end_date",2018-03-28,29,"Германия"
"126","end_date",2018-03-31,28,"Германия"
"127","start_date",2018-03-31,29,"Германия"
"128","start_date",2018-03-31,30,"Германия"
"129","start_date",2018-04-01,31,"Германия"
"130","start_date",2018-04-01,32,"Германия"
"131","start_date",2018-04-01,33,"Германия"
"132","start_date",2018-04-01,34,"Германия"
"133","end_date",2018-04-02,33,"Германия"
"134","end_date",2018-04-02,32,"Германия"
"135","end_date",2018-04-06,31,"Германия"
"136","end_date",2018-04-06,30,"Германия"
"137","end_date",2018-04-07,29,"Германия"
"138","start_date",2018-04-10,30,"Германия"
"139","start_date",2018-04-10,31,"Германия"
"140","end_date",2018-04-15,30,"Германия"
"141","start_date",2018-04-15,31,"Германия"
"142","end_date",2018-04-15,30,"Германия"
"143","start_date",2018-04-15,31,"Германия"
"144","end_date",2018-04-15,30,"Германия"
"145","start_date",2018-04-16,31,"Германия"
"146","start_date",2018-04-16,32,"Германия"
"147","start_date",2018-04-16,33,"Германия"
"148","start_date",2018-04-17,34,"Германия"
"149","start_date",2018-04-18,35,"Германия"
"150","end_date",2018-04-18,34,"Германия"
"151","start_date",2018-04-20,35,"Германия"
"152","end_date",2018-04-20,34,"Германия"
"153","start_date",2018-04-20,35,"Германия"
"154","start_date",2018-04-20,36,"Германия"
"155","start_date",2018-04-20,37,"Германия"
"156","end_date",2018-04-22,36,"Германия"
"157","start_date",2018-04-29,37,"Германия"
"158","end_date",2018-04-30,36,"Германия"
"159","end_date",2018-04-30,35,"Германия"
"160","end_date",2018-04-30,34,"Германия"
"161","end_date",2018-05-01,33,"Германия"
"162","end_date",2018-05-01,32,"Германия"
"163","end_date",2018-05-04,31,"Германия"
"164","start_date",2018-05-05,32,"Германия"
"165","end_date",2018-05-07,31,"Германия"
"166","end_date",2018-05-09,30,"Германия"
"167","end_date",2018-05-10,29,"Германия"
"168","end_date",2018-05-10,28,"Германия"
"169","start_date",2018-05-14,29,"Германия"
"170","start_date",2018-05-15,30,"Германия"
"171","end_date",2018-05-15,29,"Германия"
"172","end_date",2018-05-15,28,"Германия"
"173","start_date",2018-05-15,29,"Германия"
"174","end_date",2018-05-17,28,"Германия"
"175","start_date",2018-05-18,29,"Германия"
"176","end_date",2018-05-20,28,"Германия"
"177","end_date",2018-05-21,27,"Германия"
"178","end_date",2018-05-21,26,"Германия"
"179","start_date",2018-05-24,27,"Германия"
"180","end_date",2018-05-25,26,"Германия"
"181","end_date",2018-05-25,25,"Германия"
"182","end_date",2018-05-30,24,"Германия"
"183","end_date",2018-05-30,23,"Германия"
"184","start_date",2018-05-31,24,"Германия"
"185","end_date",2018-05-31,23,"Германия"
"186","start_date",2018-06-01,24,"Германия"
"187","start_date",2018-06-01,25,"Германия"
"188","start_date",2018-06-01,26,"Германия"
"189","start_date",2018-06-01,27,"Германия"
"190","start_date",2018-06-02,28,"Германия"
"191","end_date",2018-06-04,27,"Германия"
"192","start_date",2018-06-09,28,"Германия"
"193","start_date",2018-06-10,29,"Германия"
"194","end_date",2018-06-10,28,"Германия"
"195","end_date",2018-06-10,27,"Германия"
"196","start_date",2018-06-11,28,"Германия"
"197","start_date",2018-06-15,29,"Германия"
"198","end_date",2018-06-15,28,"Германия"
"199","start_date",2018-06-16,29,"Германия"
"200","start_date",2018-06-21,30,"Германия"
"201","start_date",2018-06-27,31,"Германия"
"202","end_date",2018-06-27,30,"Германия"
"203","start_date",2018-06-29,31,"Германия"
"204","end_date",2018-06-30,30,"Германия"
"205","end_date",2018-06-30,29,"Германия"
"206","end_date",2018-06-30,28,"Германия"
"207","end_date",2018-06-30,27,"Германия"
"208","start_date",2018-07-01,28,"Германия"
"209","start_date",2018-07-01,29,"Германия"
"210","start_date",2018-07-01,30,"Германия"
"211","start_date",2018-07-01,31,"Германия"
"212","start_date",2018-07-02,32,"Германия"
"213","end_date",2018-07-03,31,"Германия"
"214","start_date",2018-07-07,32,"Германия"
"215","start_date",2018-07-07,33,"Германия"
"216","end_date",2018-07-09,32,"Германия"
"217","end_date",2018-07-09,31,"Германия"
"218","start_date",2018-07-10,32,"Германия"
"219","start_date",2018-07-12,33,"Германия"
"220","start_date",2018-07-12,34,"Германия"
"221","start_date",2018-07-12,35,"Германия"
"222","end_date",2018-07-14,34,"Германия"
"223","start_date",2018-07-14,35,"Германия"
"224","end_date",2018-07-15,34,"Германия"
"225","end_date",2018-07-15,33,"Германия"
"226","start_date",2018-07-15,34,"Германия"
"227","end_date",2018-07-15,33,"Германия"
"228","start_date",2018-07-15,34,"Германия"
"229","end_date",2018-07-15,33,"Германия"
"230","end_date",2018-07-15,32,"Германия"
"231","start_date",2018-07-15,33,"Германия"
"232","start_date",2018-07-17,34,"Германия"
"233","start_date",2018-07-21,35,"Германия"
"234","end_date",2018-07-22,34,"Германия"
"235","end_date",2018-07-23,33,"Германия"
"236","end_date",2018-07-24,32,"Германия"
"237","end_date",2018-07-27,31,"Германия"
"238","start_date",2018-07-27,32,"Германия"
"239","end_date",2018-07-27,31,"Германия"
"240","end_date",2018-07-29,30,"Германия"
"241","end_date",2018-07-29,29,"Германия"
"242","start_date",2018-07-29,30,"Германия"
"243","start_date",2018-07-30,31,"Германия"
"244","end_date",2018-07-30,30,"Германия"
"245","start_date",2018-07-30,31,"Германия"
"246","end_date",2018-07-31,30,"Германия"
"247","start_date",2018-08-01,31,"Германия"
"248","start_date",2018-08-02,32,"Германия"
"249","start_date",2018-08-02,33,"Германия"
"250","end_date",2018-08-07,32,"Германия"
"251","start_date",2018-08-08,33,"Германия"
"252","end_date",2018-08-15,32,"Германия"
"253","start_date",2018-08-20,33,"Германия"
"254","start_date",2018-08-20,34,"Германия"
"255","end_date",2018-08-25,33,"Германия"
"256","start_date",2018-08-26,34,"Германия"
"257","end_date",2018-08-27,33,"Германия"
"258","end_date",2018-08-28,32,"Германия"
"259","end_date",2018-08-30,31,"Германия"
"260","end_date",2018-08-30,30,"Германия"
"261","end_date",2018-08-31,29,"Германия"
"262","end_date",2018-08-31,28,"Германия"
"263","end_date",2018-08-31,27,"Германия"
"264","end_date",2018-08-31,26,"Германия"
